2020-04-21 22:04:774 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-21 22:04:413 INFO  HomePage :36 -  Click on BankManagerLogin tab: [[ChromeDriver: chrome on WINDOWS (e48ea437c9b86d66c54086cfa4384c54)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-21 22:04:981 INFO  BankManagerLoginPage :27 -  Click on AddCustomer tab: [[ChromeDriver: chrome on WINDOWS (e48ea437c9b86d66c54086cfa4384c54)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-21 22:04:715 INFO  AddCustomerPage :30 -  Enter first name: Severus62 in the field [[ChromeDriver: chrome on WINDOWS (e48ea437c9b86d66c54086cfa4384c54)] -> xpath: //input[@placeholder='First Name']]
2020-04-21 22:04:34 INFO  AddCustomerPage :37 -  Enter last name: Snape in the field [[ChromeDriver: chrome on WINDOWS (e48ea437c9b86d66c54086cfa4384c54)] -> xpath: //input[@placeholder='Last Name']]
2020-04-21 22:04:644 INFO  AddCustomerPage :44 -  Enter postcode: HG3 14WB in the field [[ChromeDriver: chrome on WINDOWS (e48ea437c9b86d66c54086cfa4384c54)] -> xpath: //input[@placeholder='Post Code']]
2020-04-21 22:04:224 INFO  AddCustomerPage :55 -  Click on AddCustomer button: [[ChromeDriver: chrome on WINDOWS (e48ea437c9b86d66c54086cfa4384c54)] -> css selector: button.btn.btn-default]
2020-04-21 22:04:75 INFO  HomePage :29 -  Click on Home button: [[ChromeDriver: chrome on WINDOWS (e48ea437c9b86d66c54086cfa4384c54)] -> xpath: //button[contains(text(),'Home')]]
2020-04-21 22:04:710 INFO  HomePage :36 -  Click on BankManagerLogin tab: Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Bank Manager Login')]'
2020-04-21 22:04:964 INFO  BankManagerLoginPage :34 -  Click on OpenAccount tab: [[ChromeDriver: chrome on WINDOWS (e48ea437c9b86d66c54086cfa4384c54)] -> xpath: //button[contains(text(),'Open Account')]]
2020-04-21 22:04:951 INFO  OpenAccountPage :28 -  Search for Customer Severus62 Snape from the drop down [[ChromeDriver: chrome on WINDOWS (e48ea437c9b86d66c54086cfa4384c54)] -> id: userSelect]
2020-04-21 22:04:515 INFO  OpenAccountPage :35 -  Select Currency from drop down: [[ChromeDriver: chrome on WINDOWS (e48ea437c9b86d66c54086cfa4384c54)] -> id: currency]
2020-04-21 22:04:938 INFO  OpenAccountPage :47 -  Click on Process button: [[ChromeDriver: chrome on WINDOWS (e48ea437c9b86d66c54086cfa4384c54)] -> xpath: //button[contains(text(),'Process')]]
2020-04-21 22:04:698 INFO  HomePage :29 -  Click on Home button: [[ChromeDriver: chrome on WINDOWS (e48ea437c9b86d66c54086cfa4384c54)] -> xpath: //button[contains(text(),'Home')]]
2020-04-21 22:04:941 INFO  HomePage :43 -  Click on CustomerLogin tab: [[ChromeDriver: chrome on WINDOWS (e48ea437c9b86d66c54086cfa4384c54)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-04-21 22:04:438 INFO  CustomerLoginPage :28 -  Search customer: [[ChromeDriver: chrome on WINDOWS (e48ea437c9b86d66c54086cfa4384c54)] -> id: userSelect]
2020-04-21 22:04:704 INFO  CustomerLoginPage :35 -  Search customer: [[ChromeDriver: chrome on WINDOWS (e48ea437c9b86d66c54086cfa4384c54)] -> id: userSelect]
2020-04-21 22:04:428 INFO  AccountPage :48 -  Verify if Logout: Logout is displayed[[ChromeDriver: chrome on WINDOWS (e48ea437c9b86d66c54086cfa4384c54)] -> xpath: //button[contains(text(),'Logout')]]
